위도,경도,교차로명,노드아이디,권역코드,Y좌표,X좌표
3734.7290000000,12744.9600000000,,2400054100,,266123.5363760000,453210.3315860000
3733.5140000000,12748.7200000000,,2400054000,,271688.3567060000,451008.4400450000
3733.2560000000,12747.4700000000,,2400053900,,269845.7262490000,450515.3370770000
3733.4960000000,12748.7500000000,,2400053800,,271731.7178320000,450976.0082540000
3733.3980000000,12748.8600000000,,2400053700,,271898.1701990000,450796.5871070000
3733.0140000000,12749.1200000000,,2400053600,,272281.7107970000,450089.3208950000
3732.8260000000,12749.3500000000,,2400053500,,272621.8661810000,449744.1104890000
3732.2840000000,12749.9100000000,,2580000200,,273455.1033080000,448748.6869970000
3732.1770000000,12747.1500000000,,2400053400,,269393.4378250000,448515.4625560000
3732.3300000000,12746.7300000000,,2400053300,,268778.0781900000,448794.1392320000
3732.1470000000,12747.1500000000,청해산업입구                  ,2400053200,,269386.1478120000,448461.0018890000
3734.7190000000,12740.6500000000,,2400053000,,259787.2950120000,453144.6268960000
3735.5520000000,12740.6800000000,,2400052900,,259817.1526080000,454686.0360760000
3736.5490000000,12740.8540000000,,2400052800,,260127.1819860000,456428.6347290000
3728.6740000000,12743.8890000000,,2400052700,,264632.3858370000,441997.2395730000
3730.9160000000,12745.5500000000,,2400052600,,267055.0705190000,446163.0806930000
3728.5680000000,12730.4400000000,,2400052500,,244807.4794540000,441670.4965340000
3728.4980000000,12730.1360000000,,2400052400,,244363.2920280000,441536.5572600000
3728.6880000000,12730.4680000000,,2400052300,,244846.9253350000,441891.6733250000
3728.5110000000,12730.4900000000,,2400052200,,244892.8468740000,441565.3018790000
3728.3720000000,12730.3140000000,,2400052100,,244626.3610830000,441308.4947380000
3728.5330000000,12730.4800000000,,2400052000,,244872.7723110000,441606.7107150000
3728.6120000000,12730.7670000000,,2400051900,,245292.2428520000,441754.9627950000
3729.1190000000,12731.3300000000,,2400051800,,246120.6142600000,442697.2024910000
3728.9220000000,12731.2040000000,,2400051700,,245932.1537980000,442333.4695510000
3728.5780000000,12731.1000000000,,2400051600,,245782.6538710000,441694.3716680000
3728.5470000000,12731.0900000000,,2400051500,,245733.1476120000,441515.8748670000
3728.6700000000,12730.9500000000,,2400051400,,245563.7196350000,441863.5103720000
3728.7000000000,12730.9900000000,,2400051300,,245626.0055370000,441919.7644340000
3728.7180000000,12730.9600000000,,2400051200,,245585.8452490000,441952.5191590000
3728.8570000000,12731.2300000000,,2400051100,,245977.7228300000,442212.8480680000
3728.9060000000,12731.2580000000,,2400051000,,246012.6415420000,442304.3888970000
3728.4090000000,12730.8700000000,,2400050900,,245446.4055300000,441379.6741530000
3728.2460000000,12730.4290000000,,2400050800,,244796.8188310000,441076.1087740000
3728.4650000000,12731.0300000000,부대앞                        ,2400050700,,245689.5082340000,441485.6990120000
3728.5570000000,12731.8700000000,,2400050600,,246928.4019290000,441662.7118010000
3724.2870000000,12744.9750000000,,2400050500,,266295.3842610000,433891.4708360000
3724.0560000000,12745.8950000000,,2400050400,,267660.0250770000,433477.9282050000
3724.3140000000,12744.9140000000,,2400050300,,266204.8467610000,433956.2710050000
3727.7080000000,12730.6000000000,,2400050200,,245060.5776960000,440081.8181410000
3727.6510000000,12730.5350000000,,2400050100,,244955.9372670000,439972.4351520000
3727.6950000000,12730.6600000000,,2400050000,,245144.1514010000,440057.4039450000
3727.6520000000,12730.6510000000,,2400049900,,245129.9291000000,439979.8153180000
